match_id,minute,home_score,away_score,feature_momentum_home,feature_momentum_away,pressure_index_h,pressure_index_a,dangerous_attacks_home,dangerous_attacks_away,var_event,red_cards_home,red_cards_away,odds_over_2.5
mock_match_1000,0,0,0,1.085,1.005,57.6,49.9,0,2,0,0,0,2.96
mock_match_1000,1,0,0,1.078,1.07,59.2,56.1,0,0,0,0,0,2.938
mock_match_1000,2,0,0,1.138,1.098,63.4,57.2,2,0,0,0,0,3.012
mock_match_1000,3,0,0,1.057,1.009,56.1,48.7,0,0,0,0,0,3.041
mock_match_1000,4,0,0,1.036,0.977,52.3,51.0,0,0,0,0,0,3.051
mock_match_1000,5,0,0,0.937,0.952,47.1,45.5,0,0,0,0,0,3.029
mock_match_1000,6,0,0,0.912,0.898,41.6,39.9,0,1,0,0,0,3.071
mock_match_1000,7,0,0,0.876,0.843,39.0,32.5,1,1,0,0,0,3.092
mock_match_1000,8,0,0,0.834,0.766,32.5,24.9,0,0,0,0,0,3.03
mock_match_1000,9,0,0,0.859,0.804,38.0,31.9,0,0,0,0,0,3.066
mock_match_1000,10,0,0,0.87,0.831,35.9,37.6,0,0,0,0,0,3.175
mock_match_1000,11,0,0,0.927,0.824,42.7,34.6,0,0,0,0,0,3.196
mock_match_1000,12,0,0,0.944,0.907,41.5,40.8,0,0,0,0,0,3.159
mock_match_1000,13,0,0,0.912,0.89,44.9,35.7,0,0,0,0,0,3.161
mock_match_1000,14,0,0,0.947,0.962,45.2,45.7,0,1,0,0,0,3.216
mock_match_1000,15,0,0,0.891,1.029,38.3,54.8,0,1,0,0,0,3.22
mock_match_1000,16,0,0,0.954,1.084,43.4,56.7,0,1,0,0,0,3.179
mock_match_1000,17,0,0,0.889,1.102,41.4,57.8,0,1,0,0,0,3.248
mock_match_1000,18,0,0,0.99,0.999,47.9,48.8,0,0,0,0,0,3.271
mock_match_1000,19,0,0,0.98,1.007,47.0,47.8,0,1,0,0,0,3.231
mock_match_1000,20,0,0,1.036,1.057,51.3,55.5,0,2,0,0,0,3.276
mock_match_1000,21,0,0,1.019,1.076,54.1,54.7,1,1,0,0,0,3.353
mock_match_1000,22,0,0,1.03,1.017,56.1,52.6,2,0,0,0,0,3.286
mock_match_1000,23,0,0,1.084,1.013,61.3,54.1,0,0,0,0,0,3.358
mock_match_1000,24,0,0,1.081,0.866,58.9,37.9,0,0,0,0,0,3.442
mock_match_1000,25,0,0,1.151,0.844,64.4,34.9,1,0,0,0,0,3.383
mock_match_1000,26,0,0,1.175,0.912,69.2,40.3,1,0,0,0,0,3.396
mock_match_1000,27,0,0,1.115,0.981,58.7,47.4,1,0,0,0,0,3.495
mock_match_1000,28,0,0,1.099,1.001,57.6,48.0,0,0,0,0,0,3.46
mock_match_1000,29,0,0,1.03,0.97,51.8,46.9,0,0,0,0,0,3.461
mock_match_1000,30,0,1,0.8,1.3,57.3,42.7,0,0,0,0,0,1.779
mock_match_1000,31,0,1,0.828,1.174,30.6,67.5,0,0,0,0,0,1.764
mock_match_1000,32,0,1,0.835,1.19,36.9,72.4,0,0,0,0,0,1.804
mock_match_1000,33,0,1,0.786,1.137,30.9,63.1,0,0,0,0,0,1.848
mock_match_1000,34,0,1,0.756,1.079,26.3,54.4,0,1,0,0,0,1.875
mock_match_1000,35,0,1,0.712,1.081,21.1,55.6,0,0,0,0,0,1.862
mock_match_1000,36,0,1,0.684,1.097,18.7,57.3,0,1,0,0,0,1.877
mock_match_1000,37,0,1,0.751,1.061,24.8,56.0,0,0,0,0,0,1.865
mock_match_1000,38,0,1,0.784,1.045,28.2,55.2,0,0,0,0,0,1.905
mock_match_1000,39,0,1,0.778,1.053,25.9,52.5,0,0,0,0,0,1.941
mock_match_1000,40,0,1,0.812,1.054,33.2,56.6,0,1,0,0,0,1.949
mock_match_1000,41,0,1,0.828,1.082,31.8,54.5,0,1,0,0,0,2.006
mock_match_1000,42,0,1,0.814,1.096,32.6,62.8,0,0,0,0,0,2.05
mock_match_1000,43,0,1,0.84,1.122,34.3,59.9,0,0,0,0,0,2.073
mock_match_1000,44,0,1,0.799,1.128,32.4,64.8,0,1,0,0,0,2.103
mock_match_1000,45,0,1,0.78,1.181,27.0,67.4,0,0,0,0,0,2.07
mock_match_1000,46,0,1,0.827,1.173,32.7,73.8,0,0,0,0,0,2.091
mock_match_1000,47,0,1,0.899,1.14,41.6,68.2,0,0,0,0,0,2.119
mock_match_1000,48,0,1,0.923,1.2,41.7,67.7,0,3,0,0,0,2.219
mock_match_1000,49,0,1,0.921,1.195,44.6,70.4,0,1,0,0,0,2.223
mock_match_1000,50,0,1,0.986,1.138,49.7,62.1,0,0,0,0,0,2.266
mock_match_1000,51,0,1,1.033,1.105,52.2,63.8,1,1,0,0,0,2.335
mock_match_1000,52,0,2,0.8,1.3,46.6,53.0,0,1,1,0,0,1.878
mock_match_1000,53,0,2,0.814,1.294,29.7,78.3,0,0,0,0,0,1.9
mock_match_1000,54,0,2,0.814,1.301,29.0,78.1,0,1,0,0,0,1.923
mock_match_1000,55,0,2,0.851,1.339,34.5,84.3,0,0,0,0,0,1.962
mock_match_1000,56,0,2,0.81,1.26,31.7,75.5,0,0,0,0,0,2.014
mock_match_1000,57,0,2,0.79,1.306,26.8,81.5,0,0,0,0,0,2.021
mock_match_1000,58,0,2,0.831,1.249,35.9,75.2,0,2,0,0,0,2.065
mock_match_1000,59,0,2,0.76,1.258,26.7,76.7,0,1,0,0,0,2.132
mock_match_1000,60,0,2,0.8,1.209,33.2,70.9,0,0,0,0,0,2.207
mock_match_1000,61,0,2,0.771,1.201,27.9,69.0,0,0,0,0,0,2.231
